"parent","child","instanceName","symbolType"
"NumPadSet","numpadChild/numpadButton","num4","button"
"NumPadSet","numpadChild/numpadButton","numClip","button"
"NumPadSet","numpadChild/numpadButton","num3","button"
"NumPadSet","numpadChild/numpadButton","num2","button"
"NumPadSet","numpadChild/numpadButton","num1","button"
"NumPadSet","numpadChild/numPadBorder","","graphic"
"paperColorButton","paperColorButtonBorder","","graphic"
"paperColorButton","paperColorButtonBorder","","graphic"
"paperColorButton","paperColorButtonBorder","","graphic"
"paperColorButton","paperColorButtonBorder","","graphic"
"penColorButton","penColoButtonBorder","","graphic"
"penColorButton","penColoButtonBorder","","graphic"
"penColorButton","penColoButtonBorder","","graphic"
"penColorButton","penColoButtonBorder","","graphic"
"penSmoothSliderSet","controlBoxChild/penSmoothBar","penSmoothBar","button"
"penSmoothSliderSet","pboxChild/penSmoothControl","penSmoothButton","button"
"penSmoothSliderSet","pboxChild/penSmoothSlider","penSmoothSlider","button"
"refLayerMenuButtons","etc/refLayerMenuMoveButton","refLayerMenuMoveButton","button"
"refLayerMenuButtons","etc/bg2","refLayerMenuBGLeft","button"
"refLayerMenuButtons","topMenuChild/refMenuBG","refLayerMenuBGRight","button"
"refLayerMenuButtons","refLayerMenuChild/refOpacityBar","refOpacityBar","button"
"refLayerMenuButtons","refLayerMenuChild/refOpacityCursor","refOpacityCursor","button"
"refLayerMenuButtons","refLayerMenuChild/refMenuButtonWrapper","refOpacitySliderWrapper","button"
"refLayerMenuButtons","refLayerMenuChild/refClipBoardButton","refClipBoardButton","button"
"refLayerMenuButtons","LassoMenuChild/refResizeImageButton","refResizeImageButton","button"
"refLayerMenuButtons","refLayerMenuChild/refLoadImageButton","refLoadImageButton","button"
"refLayerMenuButtons","LassoMenuChild/refMoveImageButton","refMoveImageButton","button"
"refLayerMenuButtons","LassoMenuChild/refMirrorImageButton","refMirrorImageButton","button"
"refLayerMenuButtons","LassoMenuChild/refRotateImageButton","refRotateImageButton","button"
"refLayerMenuButtons","refLayerMenuChild/refTransferCanvasImageButton","refTransferCanvasImageButton","button"
"refLayerMenuButtons","toolmenuChild/toolMenuClose","refMenuCloseButton","button"
"refLayerMenuButtons","refLayerMenuChild/refMemoryTrainingClosedEye","refMemoryTrainingOnButton","button"
"refLayerMenuButtons","refLayerMenuChild/refMemoryTrainingOpenedEye","refMemoryTrainingOffButton","button"
"refLayerMenuButtons","refLayerMenuChild/refClearImageButton","refClearImageButton","button"
"RefLayerMenuSet","etc/refLayerMenuMoveButton","refLayerMenuMoveButton","button"
"RefLayerMenuSet","etc/bg2","refLayerMenuBGLeft","button"
"RefLayerMenuSet","topMenuChild/refMenuBG","refLayerMenuBGRight","button"
"RefLayerMenuSet","refLayerMenuChild/refOpacityBar","refOpacityBar","button"
"RefLayerMenuSet","refLayerMenuChild/refOpacityCursor","refOpacityCursor","button"
"RefLayerMenuSet","refLayerMenuChild/refMenuButtonWrapper","refOpacitySliderWrapper","button"
"RefLayerMenuSet","refLayerMenuChild/refClipBoardButton","refClipBoardButton","button"
"RefLayerMenuSet","LassoMenuChild/refResizeImageButton","refResizeImageButton","button"
"RefLayerMenuSet","refLayerMenuChild/refLoadImageButton","refLoadImageButton","button"
"RefLayerMenuSet","LassoMenuChild/refMoveImageButton","refMoveImageButton","button"
"RefLayerMenuSet","LassoMenuChild/refMirrorImageButton","refMirrorImageButton","button"
"RefLayerMenuSet","LassoMenuChild/refRotateImageButton","refRotateImageButton","button"
"RefLayerMenuSet","refLayerMenuChild/refTransferCanvasImageButton","refTransferCanvasImageButton","button"
"RefLayerMenuSet","toolmenuChild/toolMenuClose","refMenuCloseButton","button"
"RefLayerMenuSet","refLayerMenuChild/refMemoryTrainingClosedEye","refMemoryTrainingOnButton","button"
"RefLayerMenuSet","refLayerMenuChild/refMemoryTrainingOpenedEye","refMemoryTrainingOffButton","button"
